id,name,phone,email,segment,ltv_tier
2cb5f8f4-bde4-48c6-a7f7-c65648aefe13,Advik Joshi,35471001,demo_customer_1@example.com,b2c_subscription,low
aaa789c0-bb44-4138-856e-b04b0bfebaf1,Aditi Arora,35471002,demo_customer_2@example.com,b2c_subscription,mid
1e914ebe-bae9-4bb1-8507-7adc3b45771e,Saanvi Mehta,35471003,demo_customer_3@example.com,b2b_invoice,low
4cc4207d-54ec-421b-942c-2115f39097e1,Dev Khanna,35471004,demo_customer_4@example.com,b2c_subscription,low
f93f84d6-4d18-42f9-91e1-8d4086151883,Rudra Arora,35471005,demo_customer_5@example.com,b2c_subscription,low
a75134d0-e803-4446-863e-bc3389ea8336,Arnav Kapoor,35471006,demo_customer_6@example.com,b2c_subscription,low
ff35149c-ad6b-487b-b2f6-9edd3e6f2fc2,Ishita Arora,35471007,demo_customer_7@example.com,b2b_invoice,low
98dafce5-68c1-452b-b7b5-9cf9c964e765,Reyansh Desai,35471008,demo_customer_8@example.com,b2c_subscription,low
d68bf458-9047-421a-b2a7-829309d05094,Ananya Rao,35471009,demo_customer_9@example.com,b2c_subscription,low
bfecadef-f1c9-40fc-8272-f59e9aa7e715,Diya Arora,35471010,demo_customer_10@example.com,b2b_invoice,mid
dc46f92e-8cad-4be8-b5c2-9d1babf938cd,Dhruv Shah,35471011,demo_customer_11@example.com,b2c_subscription,low
9a3c2fea-594b-4c2e-a664-27269691e6b4,Nisha Nair,35471012,demo_customer_12@example.com,b2c_subscription,high
1c90a9cc-4b6d-4333-a47d-5911796a85ae,Kunal Shah,35471013,demo_customer_13@example.com,b2b_invoice,mid
aa10b35e-b057-4be5-9668-f316c8ed326e,Kiara Shah,35471014,demo_customer_14@example.com,b2c_subscription,low
d626e18c-02fb-4eff-80e6-04c8dc7ee660,Dhruv Kapoor,35471015,demo_customer_15@example.com,b2b_invoice,high
97a21001-114b-4a46-b369-249ea8ccfce6,Ishita Rao,35471016,demo_customer_16@example.com,b2c_subscription,high
d427969a-9191-4140-818c-892f3926d6be,Kunal Nair,35471017,demo_customer_17@example.com,b2c_subscription,mid
d39328a7-8e8a-42fd-86d7-353b288749ff,Rudra Malhotra,35471018,demo_customer_18@example.com,b2b_invoice,low
b4b32935-7d11-4b4d-b164-c75df29311d3,Yuvan Verma,35471019,demo_customer_19@example.com,b2c_subscription,low
7e855588-2f10-41ac-806f-422cb62a88f8,Kunal Bansal,35471020,demo_customer_20@example.com,b2c_subscription,high
227af569-b107-460a-a668-ff7ea2c20483,Raghav Desai,35471021,demo_customer_21@example.com,b2c_subscription,low
c5acae00-f8a9-428d-9b84-eb44dab2e72e,Ayaan Verma,35471022,demo_customer_22@example.com,b2c_subscription,high
c13f772f-ad45-4e90-a6d8-2cb7ea758b2d,Arnav Nair,35471023,demo_customer_23@example.com,b2c_subscription,low
e221ccd0-270f-433b-9aa6-b913a841020b,Riya Verma,35471024,demo_customer_24@example.com,b2b_invoice,low
a85cfa7e-fd46-455d-b834-feb130c89091,Vihaan Kapoor,35471025,demo_customer_25@example.com,b2b_invoice,mid
cbb51199-bd88-44d5-b683-24482308226a,Tara Kapoor,35471026,demo_customer_26@example.com,b2c_subscription,mid
8dbf5d9d-8abb-433d-94fd-f7b62dc65b5c,Arnav Verma,35471027,demo_customer_27@example.com,b2b_invoice,mid
f09caa7c-42fa-4383-90e1-a09ec2815181,Vihaan Bansal,35471028,demo_customer_28@example.com,b2c_subscription,high
c83ba7c8-7d6e-4fc2-a705-31af2f674d77,Ananya Malhotra,35471029,demo_customer_29@example.com,b2c_subscription,mid
78203391-2b5a-451d-a09e-def6ee416168,Saanvi Khanna,35471030,demo_customer_30@example.com,b2c_subscription,mid
